ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,UNIDAD_VIGENCIA_BOLSA,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,RED_DESTINO,TIPO_PAGO,DESTINO_LLAMADA,NOMBRE_TARIFA_PLAN,ORIGEN_LLAMADA,PRECIO_MENSUAL,SERVICIO_TP,DENOMINACION_TECNOLOGIA,OTROS_BENEFICIOS
7005,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,"Asia, Africa y OceanÃ­a",TELECENTROS,Cochabamba,2,LDI,OTROS,
6992,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,Europa,TELECENTROS,Cochabamba,2,LDI,OTROS,
4317,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 5 SEG,,,,,,MÃVIL,,A mÃ³viles en la Zona 4 excluyendo destinos rurales.,LDN  PUNTO VIVA ,Desde âPunto VIVAâ de la Zona 4,1.2,LDN,OTROS,
6991,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,CentroamÃ©rica ,TELECENTROS,Cochabamba,2,LDI,OTROS,
6969,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 5 Segs.,,,,,,Movil,,Cochabamba,TELECENTROS,Cochabamba,1.2,LOCAL,OTROS,
4731,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,RURAL,2,LDN,OTROS,
6973,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 6 Segs.,,,,,,VoIP,,Bolivia,TELECENTROS,Cochabamba,1,LOCAL,OTROS,
5998,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,AUSTRALIA,,AUSTRALIA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
7831,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,TELECENTROS Y PUNTOS SIMILARES,MINUTO,,,,,,FIJO,,"nORTE AMÃRICA, SUD AMÃRICA, cENTRO AMÃRICA, EUROPA, ASIA, AFRICA Y OCEANÃA",LARGA DISTANCIA INTERNACIONAL,DEPARTAMENTO,3.71,LDI,OTROS,
5653,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,"Bs 0,10 cada 5 seg",,,,,,MÃVIL,,LOCAL,LLAMADA LOCAL  PUNTO VIVA ,DESDE PUNTO VIVA A NIVEL NACIONAL,1.2,LOCAL,OTROS,
6972,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 12 Segs.,,,,,,Fijo,,Cochabamba,TELECENTROS,Cochabamba,0.5,LOCAL,OTROS,
10727,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 3 segundos,,,,,,"Fijo, Movil o TP",,"Telefono Fijo, Movil o Telefono Publico",TP LOCAL A FIJO  MOVIL O TP,Telefono publico ciudad capital,2,LDN,OTROS,
5656,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 6 SEG,,,,,,Fijo/MÃ³vil,,A cualquier telÃ©fono en Bolivia,RURAL VSAT,NACIONAL,1,LDN,OTROS,
4729,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD  NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,2,LDN,OTROS,
5665,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 3 SEG,,,,,,FIJO,,"Ecuador, Uruguay",RURAL VSAT,NACIONAL RURAL,2,LDI,OTROS,
