ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,NOMBRE_TARIFA_PLAN,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,SMS_LIBRES,RED_DESTINO,TARIFA_SMS_ADICIONAL,MB_DISPONIBLES,ORIGEN_LLAMADA,PRECIO_MENSUAL,PRECIO_MB_ADICIONAL,DENOMINACION_TECNOLOGIA,TIPO_PAGO,OTROS_BENEFICIOS
12514,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,POSTPAGO FACIL 30,1.45,0.67,0.67,0,,0.20,0,,30,0.029,,,
11146,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 169,0.80,0.80,0.80,Ilimitado,,0.20,ILIMITADO,,169,0.03,,,
11287,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,SIN L  MITE 200,0.85,0.85,0.85,0,,0.20,4000,,200,0.03,,,
7407,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,XLARGE  SIMPLE ,0.80,0.66,0,0,,0.20,0,,450,0.02,,,
7397,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,LARGE  INSTITUCION PUBLICA ,0.80,0.66,0,5,,0.20,0,,55,0.02,,,
12527,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE 500,0.8,0.8,0.8,200,,0.20,6000,,500,0.029,,,
11812,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE 300   PARAMOUNT    ,0.83,0.83,0.83,60,,0.20,2000,,329,0.029,,,
7402,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,XSMALLPLUS  SIMPLE ,1.00,0.66,0,0,,0.20,0,,75,0.02,,,
5697,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,PLAN SOLIDARIO D,0.50,0.50,0.40,0,,0.12,0,,,0.008,,,
12985,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,EMPRESA 600 PLUS,0.60,0.60,0.60,0,,0.20,30000,,600,0.03,,,
12546,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CUENTA CONTROLADA 500,0.80,0.67,0.67,0,,0.20,0,,500,0.029,,,
7406,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,LARGE  SIMPLE ,0.80,0.66,0,0,,0.20,0,,350,0.02,,,
9861,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MINISMART FF 160,0.9,0.69,0.69,0,,0.20,180,,160,0.03,,,
