ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
5947,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 200  ,200,8910,200,GPON
6194,DATALAN,DATALAN,La Paz,,150,PREPAGO,Servicio de internet de acceso fijo ,APLICADO,15,160,4.5,FIBRA
6198,DATALAN,DATALAN,La Paz,,150,PREPAGO,Servicio de internet de acceso fijo ,PLAN HOGAR PLUS,30,270,9,FIBRA
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,La Paz,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Cochabamba,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Santa Cruz,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Oruro,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Tarija,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Potosi,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Chuquisaca,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Beni,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5523,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Pando,,1500,PREPAGO,Ninguno,PLAN AVANZADO   45000 MBPS MES,8,828,1,SATELITAL
5693,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 300,4,1300,0,ADSL
5693,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 300,4,1300,0,ADSL
5693,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 300,4,1300,0,ADSL
5693,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 300,4,1300,0,ADSL
