ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,VIGENCIA_BOLSA,UNIDAD_VIGENCIA_BOLSA,NOMBRE_TARIFA_PLAN,MB_DISPONIBLES,PRECIO_MENSUAL,MINUTOS_COMBOS,DENOMINACION_TECNOLOGIA
3114,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,ADD ON M  S MEGAS 105 PLUS,20500,105,,INTERNET MOVIL
11072,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,,,4G POST   20,2048,20,,INTERNET MOVIL
11075,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,,,PAQUETE CORP   140,30720,140,,INTERNET MOVIL
7112,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,LTE 280,0,280,,INTERNET MOVIL
7114,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,LTE300,0,300,,INTERNET MOVIL
11070,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,,,PAQUETE CORP   400,102400,400,,INTERNET MOVIL
7125,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,LTE TIGO BUSINESS 1 000,20000,1000,,INTERNET MOVIL
7121,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,,,MIFI LTE PREPAGO,0,0,,INTERNET MOVIL
7126,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,LTE TIGO BUSINESS 1 450,30000,1450,,INTERNET MOVIL
7127,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,LTE TIGO BUSINESS 2 100,50000,2100,,INTERNET MOVIL
6656,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,MES,ADD ON CREDITO SUPER WOW,0,69,0,COMBOS
3705,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,72,HORA,PAQUETIGO 200,200,2.9,0,PAQUETES
3714,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,72,HORA,VOLVETE TIGO,500,10,0,COMBOS
3736,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,72,HORA,PAQUETIGO 300,300,4.3,0,PAQUETES
6657,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,MES,ADD ON CREDITO ULTRA WOW,0,99,0,COMBOS
6658,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,MES,ADD ON CREDITO WOW,0,29,0,COMBOS
6660,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON DATOS M,4000,79,0,PAQUETES
6659,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON DATOS L,7000,110,0,PAQUETES
6661,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON DATOS S,1000,30,0,PAQUETES
6662,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON DATOS XL,13500,210,0,PAQUETES
6663,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON DATOS XS,200,7,0,PAQUETES
6664,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON DATOS XXL,23000,350,0,PAQUETES
6665,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON MINUTOS L,0,160,220,VOZ
6666,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON MINUTOS M,0,85,110,VOZ
6667,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON MINUTOS S,0,45,55,VOZ
7026,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,DIA,PAQUETIGO 100,100,5,0,PAQUETES
6668,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,MES,ADD ON MINUTOS SUPER WOW,0,79,105,VOZ
6669,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,MES,ADD ON MINUTOS ULTRA WOW,0,149,210,VOZ
6670,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,MES,ADD ON MINUTOS WOW,0,39,50,VOZ
6681,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,2,HORA,TELE ESTUDIO Y TRABAJO ILIMITADO,0,1.8,0,PAQUETES
6682,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,HORA,MB ILIMITADOS X 1 HORA,0,2,0,PAQUETES
665,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,TODOS LOS PLANES DEL SERVICIO MOVIL  DE TELECEL S A ,1,0.14,,INTERNET MOVIL
1275,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,60,dias,PLAN   TIGO M2M INTERMEDIO,312,25,0,PAQUETES
3552,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,0,DIA,ACTIVACI  N DE MEGAS ACUMULADOS,0,0,0,PAQUETES
4266,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,DIA,PAQUETIGO WHATSAPP LLAMADAS,0,35,0,PAQUETES
5378,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,72,HORA,PAQUETIGO 3 DIAS  72 HORAS ,660,10,0,COMBOS
6229,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,15,DIA,1GB VIDEO X15DX55BS,1000,55,0,PAQUETES
6230,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,15,DIA,1GB RRSS X15DX70BS,1000,70,0,PAQUETES
6232,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,6,HORA,ILIMITADA DE TIEMPO 6 HRS X 5 9BS,0,5.9,0,PAQUETES
5380,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,5,HORA,PAQUETIGO NOCTURNO,1700,5.5,0,PAQUETES
5558,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,,,V INTERNET   300,18000,300,,INTERNET MOVIL
2788,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,24,HORA,PAQUETE 4G  14,2560,14,0,PAQUETES
2812,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,PAQUETE 4G POST   98,10240,98,0,PAQUETES
5603,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,10,HORA,NOCTURNA DIARIA,0,4.9,0,PAQUETES
2807,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,24,HORA,PAQUETE 4G   6,1024,6,0,PAQUETES
5374,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,24,HORA,PAQUETIGO D  A  24 HORAS ,370,5.5,0,COMBOS
6733,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,10,HORA,NOCTURNA ILIMITADA 21 00 A 6 59 AM X4 9BS,0,4.9,0,PAQUETES
2912,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,10,DIA,NAVEGADOR 15,1536,15,4,COMBOS
5632,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,1,MES,ADD ON VOZ ILIMITADA,0,500,0,VOZ
5633,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,10,DIA,BOLSA DE VOZ   10 D  AS,0,17.5,19.4,VOZ
5479,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,POSTPAGO,,,COMPARTIDO L,45000,700,,INTERNET MOVIL
5634,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PREPAGO,1,DIA,BOLSA DE VOZ   1 D  A,0,2,2.25,VOZ
